date,cumulative_gains
2016-05-02,-808514.9658000001
2016-05-06,-808514.9658000001
2016-05-09,-808514.9658000001
2016-05-10,-808514.9658000001
2016-05-11,-808514.9658000001
2016-05-12,-808514.9658000001
2016-05-13,-808514.9658000001
2016-05-16,-808514.9658000001
2016-05-17,-808514.9658000001
2016-05-18,-808514.9658000001
2016-05-19,-808514.9658000001
2016-05-20,-808514.9658000001
2016-05-23,-808514.9658000001
2016-05-24,-808514.9658000001
2016-05-25,-808514.9658000001
2016-05-26,-808514.9658000001
2016-05-27,-808514.9658000001
2016-05-30,-808514.9658000001
2016-05-31,-808514.9658000001
2016-06-01,-808514.9658000001
2016-06-02,-833074.4214000001
2016-06-03,-833074.4214000001
2016-06-06,-833074.4214000001
2016-06-07,-833074.4214000001
2016-06-08,-833074.4214000001
2016-06-09,-833074.4214000001
2016-06-10,-833074.4214000001
2016-06-13,-872496.0558
2016-06-14,-872496.0558
2016-06-15,-872496.0558
2016-06-16,-872496.0558
2016-06-17,-872496.0558
2016-06-20,-872496.0558
2016-06-21,-872496.0558
2016-06-22,-872496.0558
2016-06-23,-872496.0558
2016-06-24,-872496.0558
2016-06-27,-872496.0558
2016-06-28,-872496.0558
2016-06-29,-872496.0558
2016-06-30,-872496.0558
2016-07-01,-872496.0558
2016-07-04,-872496.0558
2016-07-05,-872496.0558
2016-07-06,-872496.0558
2016-07-07,-872496.0558
2016-07-08,-872496.0558
2016-07-11,-872496.0558
2016-07-12,-872496.0558
2016-07-13,-872496.0558
2016-07-14,-872496.0558
